ID	Length	Number	Class
rnd-5_family-227	1832	78691	LINE/L1
rnd-4_family-31	5433	78178	LINE/L1
rnd-6_family-20	9455	72219	LINE/L1
rnd-4_family-12	8726	54218	LINE/L1
rnd-5_family-891	2373	51334	LINE/L1
rnd-2_family-5	3207	47223	LINE/L1
linear;	220	47200	LINE/L1
rnd-5_family-123	3729	44797	LINE/L1
rnd-3_family-25	6530	41699	LINE/L1
rnd-1_family-60	1894	38825	LINE/L1
rnd-5_family-11	12921	37830	LINE/L1
rnd-1_family-51	7348	36850	LINE/L1
rnd-6_family-17	8659	36768	LINE/L1
rnd-4_family-246	5568	33721	LINE/L1
rnd-1_family-63	5858	33598	LINE/L1
rnd-5_family-293	9319	30817	LINE/L1
rnd-5_family-435	15287	29161	LINE/L1
rnd-5_family-1042	2551	28193	LINE/L1
rnd-6_family-29	10506	26539	LINE/L1
rnd-6_family-3038	1444	25918	LINE/L1
rnd-5_family-250	6435	24078	LINE/L1
rnd-1_family-140	132	23274	LINE
rnd-1_family-87	770	22945	LINE/L1
rnd-6_family-14	7204	22903	LINE/L1
rnd-6_family-2368	3686	21011	LINE/L1
rnd-5_family-367	7766	20478	LINE/L1
rnd-6_family-3	6810	20131	LINE/L1
rnd-5_family-17	7931	19758	LINE/L1
rnd-6_family-645	7950	19396	LINE/L1
rnd-5_family-1038	5820	18640	LINE/L1
rnd-6_family-228	2208	17020	LINE/L1
rnd-3_family-285	1015	16868	LINE/L1
rnd-3_family-137	8504	15960	LINE/L1
rnd-1_family-85	629	15934	LINE/L1
rnd-6_family-1141	1816	15032	LINE/L1
rnd-4_family-28	8317	14918	LINE/L1
rnd-6_family-1644	4986	13853	LINE/L1
rnd-5_family-341	4519	13121	LINE/L1
rnd-4_family-29	2433	13083	LINE/L1
rnd-6_family-1635	2369	12896	LINE/L1
rnd-1_family-56	513	12493	LINE/L1
rnd-5_family-376	7785	12275	LINE/L1
rnd-3_family-138	8092	12124	LINE/L1
rnd-1_family-124	167	10904	LINE/L1
rnd-5_family-1320	1102	10903	LINE/L1
rnd-5_family-271	1007	10354	LINE/L1
rnd-4_family-73	4287	10093	LINE/L1
rnd-1_family-119	1045	8926	LINE/L1
rnd-6_family-856	4856	8701	LINE/L1
rnd-1_family-69	550	8475	LINE/L1
rnd-1_family-86	173	8446	LINE/L1
rnd-5_family-304	837	8240	LINE/L1
rnd-6_family-869	6338	7796	LINE/L1
rnd-4_family-59	251	7670	LINE
rnd-1_family-116	327	7154	LINE/L1
rnd-6_family-476	782	5921	LINE/L1
rnd-1_family-71	484	5411	LINE/L1
rnd-1_family-78	167	4973	LINE/L1
rnd-5_family-436	1672	4914	LINE/L1
DR0187786	5825	4659	LINE/L1
DF0000273	931	4513	LINE/L1
rnd-1_family-110	423	4491	LINE/L1
DF0000008	3294	4301	LINE/L1
rnd-1_family-77	805	4112	LINE/L1
rnd-1_family-105	697	3964	LINE/L1
rnd-6_family-146	1006	3876	LINE/L1
rnd-1_family-109	116	3780	LINE/L1
DF0000358	3082	3642	LINE/L2
DR0187836	2129	3456	LINE/L1
DF0000010	2789	3448	LINE/L1
rnd-1_family-83	286	3383	LINE/L1
rnd-1_family-308	1043	3367	LINE/I-Jockey
rnd-5_family-178	1076	3324	LINE/L1
DR0188044	5747	3115	LINE/L1
rnd-5_family-80	964	3053	LINE/L1
DR0188051	5567	2769	LINE/L1
DF0000294	911	2693	LINE/L1
DR0188061	4903	2679	LINE/L1
DR0187781	5357	2647	LINE/L1
rnd-4_family-37	3804	2612	LINE/L1
rnd-5_family-841	245	2584	LINE/L1
DR0187862	6365	2536	LINE/L1
rnd-6_family-15	5989	2517	LINE/L1
rnd-1_family-102	1251	2473	LINE/L1
DF0000266	1059	2400	LINE/L1
DR0187738	2685	2366	LINE/L1
rnd-5_family-185	378	2330	LINE/L1
DF0000297	920	2287	LINE/L1
rnd-1_family-170	1229	2277	LINE/L1
DF0000277	2532	2272	LINE/L1
rnd-5_family-1267	263	2248	LINE/L1
rnd-1_family-148	1929	2246	LINE/L1
DF0000303	871	2239	LINE/L1
DR0187813	1577	2114	LINE/L2
DF0000289	2742	2062	LINE/L1
DF0000272	921	2040	LINE/L1
DF0000359	517	1959	LINE/L2
DR0188032	6308	1941	LINE/L1
DR0187775	3227	1916	LINE/L1
rnd-4_family-435	832	1897	LINE
DR0188085	3871	1838	LINE/L1
rnd-4_family-1068	733	1734	LINE
rnd-6_family-3007	9137	1720	LINE/L1
DR0187944	3894	1691	LINE/L1
DR0187876	5277	1650	LINE/L1
DR0187848	6778	1646	LINE/L1
rnd-1_family-126	807	1598	LINE/L1
DR0187824	1849	1584	LINE/L1
DF0000280	2694	1577	LINE/L1
DR0187970	2352	1568	LINE/L1
DR0187844	873	1565	LINE/L1
DF0000154	2507	1564	LINE/L1
DF0000304	892	1554	LINE/L1
DR0187839	6402	1547	LINE/L1
rnd-6_family-834	840	1535	LINE/L1
DR0187733	1008	1535	LINE/L2
DF0000281	2777	1522	LINE/L1
DF0000362	4099	1497	LINE/CR1
DF0000279	2629	1492	LINE/L1
rnd-6_family-635	930	1485	LINE/L1
rnd-5_family-1358	476	1475	LINE
rnd-5_family-1601	1211	1470	LINE/L1
rnd-6_family-731	2195	1452	LINE/L1
DF0000361	478	1451	LINE/L2
DF0000255	1081	1444	LINE/L1
DR0188015	2002	1368	LINE/L1
DR0187900	583	1301	LINE/L2
DF0000360	466	1247	LINE/L2
rnd-5_family-131	237	1242	LINE/L1
rnd-6_family-636	194	1135	LINE/L1
DR0188001	800	1131	LINE/L1
DR0187919	3853	1122	LINE/L1
rnd-1_family-280	358	1065	LINE/L1
rnd-5_family-179	604	1062	LINE/L1
DF0000287	1106	1059	LINE/L1
DR0187966	2199	1039	LINE/L1
rnd-1_family-147	439	1025	LINE/L1
rnd-5_family-550	981	1020	LINE
rnd-1_family-113	205	1013	LINE/L1
rnd-6_family-2498	1273	1006	LINE/L1
DR0188052	6190	983	LINE/L1
rnd-1_family-133	76	977	LINE/L1
rnd-6_family-1344	411	973	LINE
DF0000276	1091	966	LINE/L1
rnd-2_family-63	1461	965	LINE/L1
DF0000275	1080	965	LINE/L1
DR0187748	3980	964	LINE/L1
DF0000302	924	957	LINE/L1
rnd-1_family-248	185	932	LINE/L1
DR0188065	883	923	LINE/RTE-BovB
rnd-1_family-229	371	919	LINE/L1
DR0187889	3412	913	LINE/L1
DF0000295	1191	894	LINE/L1
DR0188054	5039	880	LINE/L1
DR0187938	1921	877	LINE/L1
DF0000635	997	868	LINE/L1
rnd-5_family-387	184	859	LINE/L1
DF0000286	989	857	LINE/L1
rnd-1_family-68	1686	825	LINE/L1
DR0187788	4070	822	LINE/L1
DR0188022	3416	818	LINE/L1
DR0187921	996	818	LINE/L1
DF0000245	2686	814	LINE/L1
DR0187939	789	785	LINE/L1
DR0188009	5966	778	LINE
DR0187849	5800	778	LINE
DF0000777	2224	778	LINE/L1
DF0000305	830	776	LINE/L1
rnd-1_family-123	221	775	LINE/L1
DF0000290	2650	768	LINE/L1
DF0000311	2101	764	LINE/L1
DR0187934	948	760	LINE/L1
DF0000776	2527	744	LINE/L1
DR0187807	1795	737	LINE/L1
DF0000299	870	731	LINE/L1
rnd-6_family-195	330	707	LINE
DR0187863	4313	704	LINE/L1
DR0187780	415	699	LINE/L2
DR0187893	2960	698	LINE/L1
rnd-5_family-1654	686	660	LINE/L1
DR0187841	5201	632	LINE/L1
DR0187741	470	617	LINE/L2
rnd-6_family-2097	955	616	LINE/L1
rnd-6_family-1795	518	613	LINE
DR0188031	3056	613	LINE/L1
DF0000308	2217	612	LINE/L1
rnd-1_family-172	798	603	LINE/L1
rnd-6_family-100	1317	592	LINE/L1
DR0188087	658	588	LINE/L1
DF0000248	3237	583	LINE/L1
DR0187992	518	578	LINE/L2
DR0187990	1364	564	LINE/L1
DR0187795	1064	563	LINE/L2
DR0187827	6380	553	LINE/L1
DF0000282	2434	541	LINE/L1
rnd-5_family-1618	463	540	LINE
DR0187804	5845	528	LINE/L1
DR0187917	220	499	LINE/L2
rnd-1_family-112	673	493	LINE/L1
rnd-1_family-183	159	492	LINE/L1
DR0187936	1478	492	LINE/L1
DR0187847	6294	492	LINE
rnd-6_family-1116	2894	483	LINE
DF0000283	1197	479	LINE/L1
DR0187951	4224	477	LINE/L1
DF0000157	2465	470	LINE/L1
DF0000156	2991	461	LINE/L1
DR0188017	3644	460	LINE/L1
rnd-1_family-93	130	458	LINE/L1
rnd-1_family-121	142	458	LINE/L1
DF0001144	555	445	LINE/L2
rnd-5_family-1698	1951	439	LINE/L1
rnd-1_family-302	199	439	LINE/L1
DR0187955	2670	439	LINE/L1
DF0000364	4990	437	LINE/RTE-X
DR0187755	2755	434	LINE/L1
DR0188045	2821	431	LINE/L1
rnd-1_family-307	1611	425	LINE/I-Jockey
DF0000366	5138	425	LINE/RTE-X
DR0187941	6555	424	LINE
DR0187984	390	401	LINE/L2
DR0187962	1092	398	LINE/L2
rnd-1_family-155	345	394	LINE/L1
DR0187895	4100	394	LINE/L1
rnd-1_family-122	111	386	LINE/L1
DR0187914	2614	382	LINE/L1
DR0188030	3594	365	LINE/L1
DF0000306	941	360	LINE/L1
rnd-1_family-315	292	353	LINE/L1
rnd-6_family-3521	253	351	LINE
DR0187808	4089	350	LINE/L1
rnd-1_family-267	376	344	LINE
DF0000155	2421	342	LINE/L1
rnd-6_family-11498	355	340	LINE
rnd-6_family-2127	2609	338	LINE
rnd-1_family-316	235	334	LINE/L1
DF0001215	516	332	LINE/L2
