ID	Length	Number	Class
linear;	220	237271	SINE/tRNA
rnd-3_family-20	1566	183881	SINE/tRNA
rnd-4_family-224	1314	91990	SINE/tRNA
rnd-2_family-4	1262	80373	SINE/tRNA
rnd-5_family-125	1475	78520	SINE/tRNA
rnd-2_family-136	1236	77377	SINE/tRNA
rnd-1_family-14	224	75248	SINE/tRNA
rnd-1_family-99	163	74184	SINE/B2
rnd-1_family-20	214	70187	SINE/tRNA
rnd-5_family-308	1550	66118	SINE/tRNA
rnd-1_family-45	358	60395	SINE/tRNA
rnd-6_family-3818	3103	55801	SINE/tRNA
rnd-6_family-3386	1881	51279	SINE/tRNA
rnd-1_family-0	1632	50886	SINE/tRNA
rnd-1_family-1	753	48972	SINE/tRNA
rnd-1_family-43	437	41289	SINE/tRNA
rnd-6_family-802	1891	39715	SINE/tRNA
rnd-5_family-617	1211	36809	SINE/tRNA
rnd-1_family-11	392	34160	SINE/tRNA
rnd-1_family-59	778	33616	SINE/tRNA
rnd-4_family-421	2947	33187	SINE/tRNA
rnd-5_family-372	1824	32857	SINE/tRNA
rnd-1_family-8	488	30289	SINE/tRNA
rnd-1_family-9	6210	30191	SINE/tRNA
rnd-5_family-742	982	29963	SINE/tRNA
rnd-3_family-60	1152	29450	SINE/tRNA
rnd-1_family-24	203	27679	SINE/tRNA
rnd-1_family-74	110	25821	SINE/tRNA
rnd-5_family-644	1918	24725	SINE/tRNA
rnd-2_family-9	262	22380	SINE/tRNA
rnd-5_family-187	2489	22312	SINE/tRNA
rnd-5_family-24	904	21694	SINE/tRNA
rnd-5_family-1135	2075	21073	SINE/tRNA
rnd-6_family-604	1563	20098	SINE/tRNA
rnd-6_family-743	1624	18043	SINE/tRNA
rnd-6_family-211	1409	16808	SINE/tRNA
rnd-1_family-101	135	16798	SINE/tRNA
rnd-6_family-348	2107	16736	SINE/tRNA
rnd-1_family-81	837	16473	SINE/tRNA
rnd-6_family-3504	2107	15966	SINE/tRNA
rnd-6_family-275	1243	15832	SINE/tRNA
rnd-5_family-2297	1299	15438	SINE/tRNA
rnd-6_family-231	1878	13983	SINE/tRNA
rnd-1_family-16	357	13447	SINE/tRNA
rnd-1_family-76	128	12834	SINE/tRNA
rnd-5_family-803	1423	11566	SINE/tRNA
rnd-5_family-190	1539	11512	SINE/tRNA
rnd-1_family-27	293	11323	SINE/tRNA
rnd-6_family-2403	1143	11288	SINE/tRNA
rnd-6_family-950	362	10691	SINE/tRNA
rnd-6_family-606	1169	10387	SINE/tRNA
rnd-6_family-214	391	10207	SINE/tRNA
rnd-1_family-4	592	9932	SINE/tRNA
rnd-1_family-66	191	9882	SINE/tRNA
DF0000001	262	9847	SINE/MIR
rnd-5_family-83	293	9577	SINE/ID
rnd-5_family-1915	1009	9492	SINE/tRNA
rnd-5_family-1400	1062	9443	SINE/tRNA
DF0000975	268	9422	SINE/MIR
rnd-6_family-556	1324	9420	SINE/tRNA
rnd-1_family-106	194	9040	SINE/tRNA
rnd-5_family-431	904	9003	SINE/tRNA
rnd-5_family-1508	2166	8855	SINE/tRNA
rnd-3_family-70	799	8447	SINE/tRNA
rnd-1_family-38	295	8061	SINE/tRNA
rnd-5_family-733	899	7862	SINE/tRNA
rnd-6_family-989	1375	7659	SINE/tRNA
rnd-6_family-5054	1971	7487	SINE/tRNA
rnd-5_family-181	882	7404	SINE/tRNA
rnd-5_family-71	849	7292	SINE/tRNA
rnd-5_family-44	645	7227	SINE/tRNA
rnd-6_family-469	727	7210	SINE/tRNA
rnd-1_family-230	129	7034	SINE/tRNA
rnd-1_family-7	429	6733	SINE/tRNA
rnd-6_family-397	929	6698	SINE/tRNA
rnd-6_family-149	270	6576	SINE/tRNA
rnd-4_family-432	399	6516	SINE/tRNA
rnd-5_family-439	287	6179	SINE/ID
rnd-5_family-72	204	6129	SINE/tRNA
rnd-5_family-62	1482	6062	SINE/tRNA
rnd-5_family-958	2027	5660	SINE/tRNA
rnd-1_family-5	438	5581	SINE/tRNA
rnd-1_family-227	148	5204	SINE/tRNA
rnd-6_family-260	350	5158	SINE/ID
rnd-1_family-30	729	4687	SINE/tRNA
rnd-1_family-2	5897	4410	SINE/tRNA
rnd-5_family-607	1033	4401	SINE/tRNA
rnd-1_family-187	79	4384	SINE
rnd-6_family-580	396	4133	SINE/tRNA
rnd-1_family-108	110	4012	SINE/tRNA
rnd-5_family-2448	307	3893	SINE/ID
rnd-6_family-2052	389	3797	SINE/tRNA
rnd-1_family-21	361	3757	SINE/tRNA
rnd-5_family-1178	4015	3583	SINE/tRNA
rnd-6_family-651	512	2914	SINE/tRNA
rnd-1_family-31	183	2903	SINE/tRNA
rnd-6_family-2330	263	2833	SINE/ID
DF0000974	208	2771	SINE/MIR
rnd-6_family-2003	231	2737	SINE/ID
rnd-5_family-1702	2099	2637	SINE/tRNA
rnd-1_family-127	100	2334	SINE/tRNA
rnd-1_family-3	1223	2107	SINE/tRNA
rnd-1_family-131	138	2102	SINE/tRNA
rnd-5_family-545	558	2075	SINE/tRNA
rnd-6_family-516	220	2049	SINE/ID
DR0188002	450	1743	SINE/MIR
rnd-5_family-571	165	1608	SINE/ID
rnd-6_family-1565	2530	1595	SINE/tRNA
rnd-1_family-42	2870	1545	SINE/tRNA
rnd-6_family-1075	111	1541	SINE/ID
DR0187974	235	1528	SINE/MIR
rnd-1_family-125	103	1407	SINE/tRNA
