ID	Length	Number	Class	Domain
linear;	220	355170	SINE/tRNA	0
rnd-3_family-20	1566	183881	SINE/tRNA	0
rnd-4_family-224	1314	91990	SINE/tRNA	0
rnd-2_family-4	1262	80373	SINE/tRNA	0
rnd-5_family-227	1832	78691	LINE/L1	0
rnd-5_family-125	1475	78520	SINE/tRNA	0
rnd-4_family-31	5433	78178	LINE/L1	0
rnd-2_family-136	1236	77377	SINE/tRNA	0
rnd-1_family-14	224	75248	SINE/tRNA	0
rnd-1_family-99	163	74184	SINE/B2	0
rnd-6_family-20	9455	72219	LINE/L1	4
rnd-1_family-20	214	70187	SINE/tRNA	0
rnd-5_family-308	1550	66118	SINE/tRNA	0
rnd-1_family-45	358	60395	SINE/tRNA	0
rnd-6_family-3818	3103	55801	SINE/tRNA	0
rnd-4_family-12	8726	54218	LINE/L1	5
rnd-5_family-891	2373	51334	LINE/L1	0
rnd-6_family-3386	1881	51279	SINE/tRNA	0
rnd-1_family-0	1632	50886	SINE/tRNA	0
rnd-1_family-1	753	48972	SINE/tRNA	0
rnd-2_family-5	3207	47223	LINE/L1	1
rnd-5_family-123	3729	44797	LINE/L1	0
rnd-3_family-25	6530	41699	LINE/L1	4
rnd-1_family-43	437	41289	SINE/tRNA	0
rnd-6_family-802	1891	39715	SINE/tRNA	0
rnd-1_family-60	1894	38825	LINE/L1	0
rnd-5_family-11	12921	37830	LINE/L1	8
rnd-1_family-51	7348	36850	LINE/L1	4
rnd-5_family-617	1211	36809	SINE/tRNA	0
rnd-6_family-17	8659	36768	LINE/L1	4
rnd-1_family-11	392	34160	SINE/tRNA	0
rnd-4_family-246	5568	33721	LINE/L1	1
rnd-1_family-59	778	33616	SINE/tRNA	0
rnd-1_family-63	5858	33598	LINE/L1	4
rnd-4_family-421	2947	33187	SINE/tRNA	0
rnd-5_family-372	1824	32857	SINE/tRNA	0
rnd-5_family-293	9319	30817	LINE/L1	2
rnd-1_family-8	488	30289	SINE/tRNA	0
rnd-1_family-9	6210	30191	SINE/tRNA	0
rnd-5_family-742	982	29963	SINE/tRNA	0
rnd-3_family-60	1152	29450	SINE/tRNA	0
rnd-5_family-435	15287	29161	LINE/L1	7
rnd-5_family-1042	2551	28193	LINE/L1	0
rnd-1_family-24	203	27679	SINE/tRNA	0
rnd-6_family-29	10506	26539	LINE/L1	5
rnd-6_family-3038	1444	25918	LINE/L1	0
rnd-1_family-74	110	25821	SINE/tRNA	0
rnd-5_family-644	1918	24725	SINE/tRNA	0
rnd-5_family-250	6435	24078	LINE/L1	2
rnd-1_family-140	132	23274	Unknown	0
rnd-1_family-87	770	22945	LINE/L1	0
rnd-6_family-14	7204	22903	LINE/L1	0
rnd-2_family-9	262	22380	SINE/tRNA	0
rnd-5_family-187	2489	22312	SINE/tRNA	0
rnd-5_family-24	904	21694	SINE/tRNA	0
rnd-5_family-1135	2075	21073	SINE/tRNA	0
rnd-6_family-2368	3686	21011	LINE/L1	0
rnd-5_family-367	7766	20478	LINE/L1	2
rnd-6_family-3	6810	20131	LINE/L1	4
rnd-6_family-604	1563	20098	SINE/tRNA	0
rnd-5_family-17	7931	19758	LINE/L1	2
rnd-6_family-645	7950	19396	LINE/L1	4
rnd-5_family-1038	5820	18640	LINE/L1	5
rnd-6_family-743	1624	18043	SINE/tRNA	0
rnd-6_family-228	2208	17020	LINE/L1	0
rnd-3_family-285	1015	16868	LINE/L1	0
rnd-6_family-211	1409	16808	SINE/tRNA	0
rnd-1_family-101	135	16798	SINE/tRNA	0
rnd-6_family-348	2107	16736	SINE/tRNA	0
rnd-1_family-81	837	16473	SINE/tRNA	0
rnd-6_family-3504	2107	15966	SINE/tRNA	0
rnd-3_family-137	8504	15960	LINE/L1	2
